Population,Area,Anti-Social Behaviour,Burglary,Robbery,Vehicle Crimes,Violent Crimes,Shoplifting,Criminal Damage & Arson,Other Theft,Drugs,Other Crimes,Bike Theft,Weapons
465378,"11,184.35",112215,24916,3477,21043,50551,19066,32002,22776,18421,3781,3835,1484
202751,"4,335.33",40799,10290,1768,10083,21255,7277,10272,9925,2147,1757,1007,737
155135,"39,333.34",17862,4870,375,3753,16799,4917,7297,6979,1791,1023,605,262
61599,"35,876.76",5260,1574,64,1396,3452,410,1706,1757,295,147,116,53
74706,"57,707.13",10463,2228,84,1484,5036,1080,2160,2217,520,263,164,90
502388,"11,564.49",147158,37586,9988,31789,78828,21608,38761,41418,8979,5823,9036,2618
104498,"7,671.65",18309,3342,266,3789,12737,3877,6006,4738,2198,621,505,338
263430,"19,203.31",44074,8783,1123,10995,36091,9666,15508,11682,2597,1866,1202,506
50349,"48,137.68",2907,1716,59,1111,2672,1199,1773,1577,246,168,115,43
109248,"73,943.51",12668,2995,103,2553,6885,2278,3890,4498,1005,301,261,95
58626,"11,139.29",9850,1877,80,2435,6391,2167,3778,2558,1101,500,98,108
199777,"3,760.87",21074,7684,1625,8307,15803,4220,6360,8351,2393,769,1801,331
77822,"91,293.48",6187,1368,39,662,3996,879,1791,1664,449,209,99,62
96738,"87,107.11",7340,2152,40,1707,5506,555,2860,2157,520,352,220,109
139814,"33,402.39",13386,2837,128,2221,7171,1678,4156,4253,947,519,282,155
138068,"5,387.47",65590,8346,718,5441,19779,10762,13328,8925,3155,987,1769,427
247666,"30,862.53",25620,6633,765,9625,20150,11876,11840,12650,3343,1385,2674,738
85312,"25,832.26",9521,2101,65,1398,4811,997,2652,2831,817,343,257,92
91042,"84,914.94",10410,2596,46,1804,4576,1783,2878,3113,802,362,191,63
139609,"44,125.95",15959,4186,127,3349,12006,3410,6427,4551,1640,796,457,208
176453,"75,313.48",20218,5688,129,3727,8527,2619,6887,4644,1135,649,762,222
